"","track","album_name","artist","release_date","isrc","all_time_rank","track_score","spotify_streams","spotify_playlist_count","spotify_playlist_reach","spotify_popularity","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_playlist_reach","apple_music_playlist_count","airplay_spins","deezer_playlist_count","deezer_playlist_reach","amazon_playlist_count","pandora_streams","pandora_track_stations","shazam_counts","explicit_track"
"573","LA CANCI","OASIS","J Balvin",2019-06-28,"USUM71911618","570",63.8,1706325903,149957,78600154,79,1527773578,6954777,51934,21045881,143346183,334064909,157,19418,118,3592823,39,150953996,62582,3149000,FALSE
"574","In My Mind","In My Mind","Dynoro",2017-11-15,"QZ22B1859046","567",63.8,1432473324,235239,70280564,74,1652679786,14105895,973173,34950153,481312317,476314802,182,112709,146,2190340,42,138789970,54653,17057505,FALSE
"575","Chandelier","Todo Exitos 2014 (Los Nmero 1 Del A","Sia",2014-01-01,"USRC11400498","569",63.8,1729264620,171065,77207881,75,3137616905,17150946,369612,124140769,1176707701,1774014030,216,244316,151,1369282,70,409374508,528134,19192527,FALSE
"576","Eastside (with Halsey & Khalid)","Eastside (with Halsey & Khalid)","benny blanco",2018-07-12,"USUM71809132","571",63.7,1736530084,174867,50426363,73,885823017,4489619,133341,12574029,116720227,698890380,173,315236,51,518961,51,438743234,136245,8681998,FALSE
"577","Godzilla (feat. Juice WRLD)","Music To Be Murdered By","Eminem",2020-01-17,"USUM72000788","572",63.7,1456635235,241715,56568076,78,657464189,10293443,162256,37734089,310162794,280494505,76,1087,61,502301,26,151276536,248709,3056826,TRUE
"578","All About That Bass","Los Nmeros 1 De 40 (El Disco De Los","Meghan Trainor",2014-01-01,"USSM11401317","573",63.6,815661095,92401,43164406,70,2725121387,10672692,423870,58123781,620379145,649286436,130,45010,93,464181,43,514035113,1813173,16984011,TRUE
"579","Besharam Rang (From ""Pathaan"")","Besharam Rang (From ""Pathaan"")","Vishal-Shekhar",2022-12-12,"INY092200126","574",63.5,218291402,10974,8344652,66,687030830,4823376,473000,26417464,568124616,1434494,27,2038,1,1097,11,733552,292,267470,FALSE
"580","MR. TAKE YA B*TCH (FEAT. CHRISEANROCK)","MR. TAKE YA B*TCH (FEAT. CHRISEANROCK)","Lil Mabu",2023-10-17,"QZVEM2364808","575",63.4,64754747,15452,1964606,NA,45962989,688170,1419200,159289734,1354562740,266843018,2,152,NA,NA,12,2014641,6101,375743,TRUE
"581","Cheques","Still Rollin","Shubh",2023-05-19,"QM6P42332212","576",63.4,276505971,18698,9458603,73,356244269,3597189,546123,13229231,193157167,596803,20,NA,NA,NA,22,54106,66,509690,FALSE
"582","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","Riton",2021-01-15,"GBCEN2000163","577",63.3,979440925,257132,93789915,72,43045405,285558,419400,21243042,269812694,88241,286,238633,159,4203809,46,21699241,18631,8389740,FALSE
"583","VAGABUNDO","VAGABUNDO","Sebastian Yatra",2023-05-12,"USUM72305982","578",63.3,337650898,44292,44021764,75,226249916,862952,241103,34797656,505139679,186376381,59,66673,47,2145616,65,5524025,774,1434689,FALSE
"584","Cheap Thrills","Cheap Thrills","Sia",2015-12-17,"USRC11502935","580",63.2,1779046979,161840,45579916,70,2306432379,13236478,836539,56823958,925857941,1534392666,196,10434,87,283297,90,607967991,285233,28940990,FALSE
"585","Yummy","Yummy","Justin Bieber",2020-01-03,"USUM71923046","579",63.2,792379282,96177,23338709,62,887226751,13188871,4410189,173359563,2580705782,603698593,171,157316,381,1239061,30,45686998,177469,3298698,FALSE
"586","On My Mama","On My Mama","Victoria Mon",2023-06-16,"USRC12204025","582",63.1,119798692,16874,43909927,65,57621851,673949,52478,14376748,138101105,286698611,55,306628,39,8198464,78,17556177,11350,1507722,TRUE
"587","Wishing Well","Legends Never Die","Juice WRLD",2020-07-10,"USUG12001905","583",63.1,901486450,157381,25837638,71,419337114,4349040,491431,53221207,482804184,19920776,30,22361,36,101369,15,58369856,96691,1303125,TRUE
"588","Jale 2 (feat. Vinay Yadav & Neha Shukla)","Jale 2 (feat. Vinay Yadav & Neha Shukla)","Shiva Choudhary",2023-10-26,"ZA41S2304411","581",63.1,NA,3,710,NA,355029539,2185177,NA,NA,NA,880969649,NA,NA,NA,NA,NA,NA,NA,16,FALSE
"589","Too Good At Goodbyes","Too Good At Goodbyes","Sam Smith",2017-09-08,"GBUM71704089","584",62.9,2061017397,157801,71564108,78,1988375859,11184649,742139,16133167,118957400,1820962866,174,43816,110,945336,41,323918078,170501,8024678,FALSE
"590","SPECIALZ","SPECIALZ","King Gnu",2023-09-01,"JPU902303303","585",62.8,178413226,22972,6194085,78,270988549,1664863,174300,88806278,729015072,514087095,20,600,5,29367,8,NA,NA,NA,FALSE
"591","Ta Ta Ta","Bayanni","Bayanni",2022-08-24,"NGA3B2219002","586",62.8,85207310,31737,2778661,62,59927668,420475,4914172,92105584,1493815667,4900911,18,5714,7,248283,NA,826750,641,2121596,TRUE
"592","Un Finde | CROSSOVER #2","Un Finde | CROSSOVER #2","Big One",2023-04-04,"ARP7V2300002","588",62.6,361219290,34991,12554230,72,319150330,1101883,710900,63611915,947077415,329133682,13,17927,21,5312674,13,NA,NA,654350,FALSE
"593","There's Nothing Holdin' Me Back","Illuminate","Shawn Mendes",2016-09-23,"USUM71702833","589",62.6,2043626431,185796,81455782,80,1683710842,12626585,2310405,82394327,544400947,1720678088,190,314017,293,2290114,55,284424039,97441,14902121,FALSE
"594","Gulabi Sadi","Gulabi Sadi","Sanju Rathod",2024-02-06,"FR2X42446102","587",62.6,34996527,983,2100536,69,170115238,1923890,2046,5503,87900,152304022,1,NA,NA,NA,NA,NA,NA,170779,FALSE
"595","Breaking Me","Breaking Me (feat. A7S)","Topic",2019-12-19,"DEUM71906724","590",62.5,1128612961,184002,50489973,69,473684535,3364098,564408,46664008,602190373,67356913,267,402599,133,2501793,33,105347004,27039,15373934,FALSE
"596","The 5th Letter","Underhanded","Hollywood Dots The Oncelor",2022-10-28,"QZANY1700215","591",62.4,NA,NA,NA,NA,928039252,1154421,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE
"597","Belong Together","Belong Together - Single","Mark Ambor",2024-02-16,"QM24S2400638","592",62.4,233969547,19001,153692182,87,15918146,259139,NA,569975,7383118,71148977,84,NA,59,30602918,76,2985129,2037,1139490,FALSE
"598","Shake It Off","1989 (Deluxe)","Taylor Swift",2014-01-01,"USCJY1431349","593",62.3,1409692678,162649,73697294,74,3622416832,14917829,322329,269428239,2080409767,1595433972,301,45933,115,2264405,81,131156870,751459,10197326,FALSE
"599","LOVELY BASTARDS","LOVELY BASTARDS","ZWE1HVNDXR",2023-08-25,"QZPLS2390181","594",62.2,224798632,37906,25613376,NA,96276929,1777074,781267,222202542,2266242364,21726048,3,1,NA,NA,8,685072,3203,1340592,TRUE
"600","La Curiosidad","Platonicos","Jay Wheeler",2020-06-12,"USUYG1313832","595",62.1,1099019265,107383,57705968,78,1230683305,4830196,632899,113529720,973281040,123499549,104,31013,23,1915136,35,63698595,14450,1948311,FALSE
"601","EL MAKINON","EL MAKINON","KAROL G",2021-03-24,"USUM72023904","596",62,574357002,69491,28426363,69,1180418876,5566219,487000,56713955,627030538,594246368,91,32815,41,2363366,40,56426614,11335,1161001,FALSE
"602","In The Stars","In The Stars","Benson Boone",2022-04-29,"USWB12201574","597",61.9,725214939,107667,48040727,74,204956968,2396003,626129,233812388,2046007902,2723304479,48,98191,19,576576,14,10018684,12905,3629083,FALSE
"603","Shirt","Shirt","SZA",2022-10-28,"USRC12203632","598",61.9,469322271,68997,24096906,73,77831118,981474,50996,44266733,419727783,61197280,64,278696,26,787665,43,52365635,13823,1516065,TRUE
"604","Tiryakinim","Tiryakinim","Bayhan",2024-04-18,"QZK6N2415960","599",61.8,34304595,1805,4615455,71,65487083,469277,NA,NA,NA,2606582,6,523,1,1566667,NA,NA,NA,163672,FALSE
"605","We Don't Trust You","WE DON'T TRUST YOU","Future",2024-03-22,"USSM12402040","600",61.7,68542565,13345,6655318,NA,17365209,248471,NA,NA,NA,381728,12,608,13,190012,NA,1266024,1564,194097,TRUE
"606","T","T","DENNIS",2023-05-04,"BRSME2300692","601",61.7,333339751,41237,24980357,69,164941550,1130932,1253933,124997599,1585272275,158095067,44,6589,67,3132886,11,183192,334,1174062,FALSE
"607","Ct","Ct","Tng Duy",2023-09-28,"QZYHM2362070","602",61.6,6921900,1554,91085,NA,119888947,390939,1800000,18029920,497979360,2119803,1,5,NA,NA,NA,NA,NA,33933,FALSE
"608","Call Out My Name","My Dear Melancholy,","The Weeknd",2018-03-29,"USUG11800560","603",61.6,1780889877,229909,75001452,79,1366385062,10766000,284554,89244170,742902070,288311308,121,3403,62,333884,29,173195736,97371,8331752,FALSE
"609","Lose Control","Get To Know","MEDUZA",2019-09-27,"DEUM71905792","604",61.6,932911098,180309,53903360,66,412062322,4053612,5201086,487782696,5676756004,99396759,265,223012,305,2019465,23,48014603,11561,8835435,FALSE
"610","THE GREATEST","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,"USUM72401992","606",61.5,74533081,4192,13299713,84,4455957,101176,166,NA,NA,934654,60,408,8,208876,17,183715,381,62349,FALSE
"611","X - Remix","X (Remix)","Nicky Jam",2018-06-19,"USSD11800257","605",61.5,341040837,36912,15902955,60,2922815312,10451653,16100,3472949,24802266,234524144,23,5850,19,112905,NA,95517258,14891,727415,FALSE
"612","223's (feat. 9lokknine)","223's (feat. 9lokknine)","YNW Melly",2019-08-09,"QMCE31902418","609",61.4,484542375,97431,11914330,64,164470388,1490017,6584665,105210640,999433711,15442781,13,434,5,31550,NA,44167227,99074,1457720,TRUE
"613","Saami Saami","Saami Saami (From ""Pushpa - The Rise Part - 01"") - Single","Mounika Yadav",2021-10-28,"INA092117769","608",61.4,43286859,3192,1364915,49,1427016787,19325402,NA,NA,NA,68869266,4,1275,NA,NA,7,NA,NA,69519,FALSE
"614","chame La Culpa","chame La Culpa","Luis Fonsi",2017-11-17,"USUM71712163","607",61.4,935042457,92728,21057073,68,2463300079,11133796,1121206,13550452,139512356,391129325,92,81252,76,175283,36,113179212,41836,8719140,FALSE
"615","Mask Off","EPIC AF","Future",2017-01-01,"USSM11701444","614",61.3,1596770801,281838,66110271,77,1296329209,14241982,1693184,235882300,2521784913,193985669,220,51,68,544177,39,358165536,365569,11357103,TRUE
"616","BON","No.O -ring-","Number_i",2024-05-27,"JPY932300068","613",61.3,7269751,133,4401335,70,27108087,190541,NA,NA,NA,NA,13,136,NA,NA,4,NA,NA,24786,FALSE
"617","Before You Go","Divinely Uninspired To a Hellish Extent (Extended Edition)","Lewis Capaldi",2019-05-17,"DEUM71905868","611",61.3,1920784716,211573,106250249,77,814045992,8072383,912147,104538556,1042158771,614489930,203,1048,62,378234,33,198714579,117124,12280979,FALSE
"618","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","Amaarae",2021-09-16,"US23A1540104","610",61.3,428189728,95507,22395876,67,84966187,868089,5406735,1021159104,11653604916,98142716,100,22558,24,101103,33,6960206,6180,5024951,TRUE
"619","Young Metro","WE DON'T TRUST YOU","Future",2024-03-22,"USSM12402034","612",61.3,69705399,13782,24255616,NA,11537917,283398,NA,NA,NA,1656679,7,188,3,55789,NA,3222983,780,189143,TRUE
"620","You Raise Me Up","Closer (20th Anniversary Deluxe Edition)","Josh Groban",2023-11-17,"USRE12300484","618",61.2,124486631,18,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125334138,192980,NA,FALSE
"621","Queencard","I feel","(G)I-DLE",2023-05-15,"KRA392300001","616",61.2,289304213,25925,7047731,72,336281559,3407011,404600,257833478,1992738757,572838570,33,4473,5,25127,38,786642,3077,689921,FALSE
"622","Maroon Color Sadiya (From ""Fasal"")","Maroon Color Sadiya (From ""Fasal"") - Single","Kalpana",2024-03-12,"INW132418021","617",61.2,10371919,142,221118,NA,130361314,1078319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15509,FALSE
"623","RAPSTAR","RAPSTAR","Polo G",2021-04-09,"USSM12101640","615",61.2,923823292,218155,31818910,72,300905049,3235053,147432,71450602,619442138,275110787,143,128393,28,283344,49,51760583,51356,2180167,TRUE
"624","Say Yes To Heaven","Say Yes To Heaven (sim0ne & Melo Nada Remix)","Lana Del Rey",2023-03-17,"GBUM72304301","620",61.1,513353284,73253,71366345,80,91324061,1419414,42282,19858700,152008937,225040,70,30184,39,830621,41,22345351,3483,3754332,FALSE
"625","Building Blocks","Darkly","Falls",2022-07-15,"QZN882241742","619",61.1,NA,1,4,NA,1067013260,2057980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"626","Maan Meri Jaan","Champagne Talk","King",2022-10-12,"INW272200083","621",61,467454503,25221,7852722,71,627711778,7180269,622000,11756945,189880241,506446,18,921,1,1097,9,3330,NA,397715,FALSE
"627","Best Friend (feat. Doja Cat)","Best Friend (feat. Doja Cat)","Saweetie",2021-01-07,"USWB12004547","622",61,571532926,95775,30817811,66,480128955,4921945,2150682,255722462,2362426981,36411816,143,202966,50,237821,48,145038061,82633,2977469,TRUE
"628","GAT","GAT","KAROL G",2022-08-26,"USUM72216070","623",61,427247328,42444,22820163,66,547409394,3332851,333197,26378245,275273861,708455030,38,41880,24,6138492,41,51711477,9193,1177588,FALSE
"629","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2017-02-23,"USWB11700237","624",61,1116304877,120975,28691304,66,2024330020,12350722,5384329,108811158,816827324,618637192,5,1,58,265507,11,104822007,105778,NA,TRUE
"630","Te Bot - R","Flow La Movie Remixes","Nio Garcia",2017-01-01,"QM4TW1811888","625",60.9,1176693861,132271,43704712,69,2570135916,11563688,749700,18965802,254943718,304845333,84,18925,51,1787985,NA,252140479,178669,8825164,TRUE
"631","SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,"USSM11806660","626",60.9,2134271997,330314,97027433,77,271517371,2036075,1159868,262664925,2562546341,8490,286,79741,70,834774,115,307942023,300265,10345810,TRUE
"632","act ii: date @ 8 (remix)","act ii: date @ 8 (feat. Drake) [remix]","4batz",2024-03-08,"USLD91756695","627",60.8,89787741,16536,54361056,NA,NA,NA,NA,NA,NA,NA,49,36850,34,1475723,44,6065308,1556,585899,TRUE
"633","Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj",2023-06-23,"USAT22306213","630",60.6,470659154,53386,35912569,71,143805714,2019310,307562,119653263,1220529181,581626428,68,4,31,494407,35,NA,NA,1637333,TRUE
"634","The Kind of Love We Make","The Kind of Love We Make","Luke Combs",2022-06-17,"US6XF2200076","628",60.6,470340261,68177,14091711,75,123212252,623104,72219,39713127,395041727,513736581,45,321811,7,141841,25,175596345,25175,1452588,FALSE
"635","Europapa","Europapa","Joost",2024-02-29,"NL4TG2400001","629",60.6,111170278,12493,25123151,81,50014053,797138,91200,3125018,34861500,4715872,27,9467,34,1098059,12,17776,114,178197,FALSE
"636","OMG","NewJeans 'OMG'","NewJeans",2023-01-02,"USA2P2251723","632",60.5,675591495,53019,18823180,75,296668872,3652203,566750,299538483,2441354214,228437645,43,13660,10,209526,45,1244038,2134,702234,FALSE
"637","Baila","Baila","Karl Wine",2020-07-31,"TCAFA2047032","631",60.5,2947162,2732,204717,NA,12422083,154802,14006256,151549836,1846083524,NA,NA,NA,NA,NA,NA,NA,NA,1322093,FALSE
"638","PUNTO 40","PUNTO 40 - Single","Rauw Alejandro",2022-09-22,"USSD12200965","635",60.4,396549329,56179,20926929,67,185441424,1023796,2400609,377165558,5233247603,19049338,43,36151,23,368136,46,20524547,4585,1071446,TRUE
"639","In The Name Of Love","Pacha 2017","Martin Garrix",2015-10-23,"NLM5S1600003","637",60.4,1452194416,164935,69180262,75,1487688794,13819002,3910130,133502443,1030123230,362287135,154,25846,96,1089039,33,301519647,172846,8395318,FALSE
"640","Shorty Party","Shorty Party","Cartel De Santa",2023-03-04,"MX3602300010","633",60.4,323657766,28785,11052463,69,373726087,2491193,416201,53038445,623071891,304414240,9,2712,3,1108265,7,13592777,11376,2690874,TRUE
"641","Drama","Drama - The 4th Mini Album","aespa",2023-11-10,"KRA302300350","634",60.4,198043685,11991,12559068,78,203832651,2922155,43265,64109374,442468610,1241723341,26,2805,6,573116,24,306346,786,261344,FALSE
"642","Head & Heart (feat. MNEK)","Head & Heart (feat. MNEK)","Joel Corry",2020-07-03,"UK4ZF2000305","636",60.4,1196521179,190615,90132900,74,362915972,1650951,434330,24163311,269796885,181591757,383,411715,216,3455476,65,58649277,12515,8953467,FALSE
"643","Callaita","Callaita","Bad Bunny",2019-05-31,"QM6N21919851","638",60,1448173030,156477,70813159,70,1341625876,6392667,625362,38376453,354361373,319055884,145,21249,58,3650942,26,177618696,48208,3026321,TRUE
"644","How Do I Say Goodbye","How Do I Say Goodbye","Dean Lewis",2022-08-05,"AUUM72200172","639",59.9,459712644,86820,35269550,69,116599191,1422757,189900,92382361,749847975,553126618,57,206210,21,85862,22,59479060,16184,2330861,FALSE
"645","One Step Closer","Papercuts","Linkin Park",2024-04-12,"USWB11201316","640",59.8,687919107,91,485893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE
"646","ULTRA SOLO","ULTRA SOLO","Polim Westc",2022-02-14,"CLPP22200004","642",59.7,360068693,58995,18998905,64,149041400,1103249,4984600,450591101,4865262796,NA,35,18457,19,138088,19,55318,706,1212308,FALSE
"647","Hundred Miles (Sped Up Version)","Hundred Miles (Sped Up Version) [feat. Gabriela Richardson] - Single","Yall",2023-02-03,"ES7002364101","641",59.7,16264949,4532,1638498,48,2287199,35193,4771500,156817500,1820623806,NA,2,NA,NA,NA,NA,26640,307,235920,FALSE
"648","SNAP","SNAP","Rosa Linn",2022-03-19,"USSM12207342","643",59.7,1039482815,99333,60341587,79,14074005,277824,20083,254036,6824133,NA,133,366151,75,2521874,39,NA,NA,9224184,FALSE
"649","Lambiyan Raataan","Lambiyan Raataan - Single","Jubin Nautiyal",2021-08-27,"QZ93L2125871","644",59.6,53437,4,16,NA,1498796051,11372639,580,73176,950474,251850858,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"650","Gangnam Style (","Hits For Kids 29","PSY",2012-01-01,"USUM71210283","647",59.6,477162323,103211,28183533,67,5849588091,31460015,146609,64279161,578660460,288553687,93,13151,50,208246,21,NA,NA,7977546,FALSE
"651","Criminal","Criminal","NATTI NATASHA",2017-08-18,"USB271700112","648",59.6,889098343,84086,32287923,69,2707034440,9483547,425400,28701107,312894649,278049333,58,15053,39,482047,59,190129072,63576,3803337,FALSE
"652","Chantaje","Chantaje","Shakira",2016-01-01,"USSD11600299","646",59.6,1006124005,96248,34837159,72,3290132416,13447183,122464,27711123,270324375,263463888,114,20842,91,871678,49,215160586,143400,7404696,FALSE
"653","Laugh Now Cry Later (feat. Lil Durk)","Laugh Now Cry Later (feat. Lil Durk)","Drake",2020-08-14,"USUG12001748","645",59.6,962634706,222576,40254416,69,645367972,5525087,59816,28688641,232612189,200715765,170,1830,71,208959,29,111165919,54849,2255595,TRUE
"654","Psycho","Psycho (feat. Ty Dolla $ign)","Post Malone",2018-02-23,"USUM71710836","650",59.5,1517935273,183827,31780671,70,1316530001,8403766,13942,5079910,41586060,291238119,92,136508,45,356717,19,443344783,247892,6938949,TRUE
"655","Casanova","Casanova","Soolking",2023-07-06,"FRPZ92324651","649",59.5,191488217,46669,12795882,72,205292316,1160425,NA,12365265,143392887,466939874,35,18155,40,6429562,32,NA,NA,1457167,FALSE
"656","Holanda","Holanda","Jhayco",2023-07-28,"USUM72310520","651",59.5,320174752,51073,31619869,73,104188558,465006,278104,136034375,1510621389,30755464,48,29430,22,534709,30,697732,897,597203,TRUE
"657","ne","ne","21 Savage",2024-01-10,"USSM12309168","652",59.4,150203467,33551,52062674,NA,15371828,236178,NA,NA,NA,121166226,24,18531,12,91130,25,3682246,903,467115,TRUE
"658","Faded","Faded","Alan Walker",2015-12-04,"NOG841549010","653",59.4,1943842010,221874,62851374,75,439888055,5232880,11253946,269640001,4682512450,23770197,103,107625,107,1092635,49,122793202,262131,26821494,FALSE
"659","Cough","Cough","Kizz Daniel",2022-10-13,"USUYG1448153","655",59.3,86103527,24888,4522560,62,211940922,1076420,3115217,71261169,1387044831,69365971,20,14428,6,438492,18,5049678,1949,3663496,TRUE
"660","Afraid To Feel","Afraid To Feel","LF SYSTEM",2022-05-02,"GBAHT2200492","656",59.3,355203657,146218,60783514,74,46743730,381567,201874,142211766,1767047572,746547494,112,113950,55,1570302,35,69412,1389,3424307,FALSE
"661","Wow.","Wow.","Post Malone",2018-12-24,"USUM71822626","657",59.3,1680612367,201840,56914511,74,630890897,5912252,536365,51435673,477810652,284679984,137,198344,42,35766,26,391192844,302612,6704282,TRUE
"662","Radioactive","Hear Me EP","Imagine Dragons",2012-01-01,"USUM71201074","654",59.3,1836362703,236427,68978853,75,1838544809,12824587,340696,56611247,640674307,216497133,111,166884,118,869248,47,1108092615,2068154,16364,FALSE
"663","RITMO (Bad Boys For Life)","RITMO (Bad Boys For Life)","Black Eyed Peas",2019-10-12,"USSM11912430","659",59.2,961358721,155959,47278163,65,1188737111,7547115,212737,22305262,307352160,230662728,201,493,147,1479424,45,151816538,47318,11191965,TRUE
"664","hot girl bummer","hot girl bummer","blackbear",2019-08-23,"USUG11902959","658",59.2,1265080733,198773,30644248,70,356598545,5539172,333375,80730443,579006925,297754199,120,766,29,652935,13,231292863,252439,9785960,TRUE
"665","Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)","Sam Smith",2019-01-11,"GBUM71807386","663",59.1,1349115675,113525,53504146,71,1029803478,4717155,221401,6690117,102120652,2211960159,180,509702,76,1145425,56,258006262,105686,9363816,FALSE
"666","Heartbreak Anniversary","HEARTBREAK ANNIVERSARY","Giveon",2020-02-21,"USSM12000998","665",59.1,1157206056,189404,63215005,75,158131164,1488878,1833826,426830431,3272868374,29873,191,209890,58,1276396,43,77600589,71185,6963195,FALSE
"667","Toxic","Faded","BoyWithUke",2021-09-10,"TCAFS2101442","662",59.1,690010618,145080,16730668,69,366093721,7390377,643140,290455168,2787939961,1219791364,24,61430,27,541010,15,10399079,53016,5582299,FALSE
"668","Tennessee Whiskey","Tennessee Whiskey","Chris Stapleton",2015-04-28,"USUM71418088","661",59.1,954073526,162233,36021163,77,1153379467,6645883,148665,21371017,243324273,147427683,117,14374,24,15644,34,1274748936,1291820,5069348,FALSE
"669","Up","Up (Instrumental)","Cardi B",2021-02-04,"USAT22100061","664",59.1,646916214,97970,34102798,65,496850951,6266644,2776485,885852462,6912025468,66038736,173,15142,60,214629,40,147844649,104705,3173352,TRUE
"670","UN PREVIEW","UN PREVIEW","Bad Bunny",2023-09-25,"QMFME2329236","660",59.1,253455087,45343,26714184,NA,71940311,1117686,19800,9088147,96982970,9888742,32,23982,25,1747573,12,9433766,1943,554474,TRUE
"671","Prada Dem (feat. Offset)","Prada Dem (feat. Offset)","Gunna",2024-03-15,"USAT22401724","669",58.9,57374288,10723,43670163,NA,10657679,209937,56800,1100000,9200000,4228925,37,19728,4,1345101,21,4733077,529,241004,TRUE
"672","Don't Be Shy","Don't Be Shy - Single","Ti",2021-08-12,"CYA112000981","670",58.9,686371118,95938,62300199,69,479721274,3066965,1500000,146674018,2298614237,1914236734,130,104810,87,604339,51,46151542,9577,4879555,TRUE
"673","Sabor Fresa","Sabor Fresa","Fuerza Regida",2023-06-22,"QZ9QQ2300457","668",58.9,502536183,37578,22883474,77,151406654,886902,380400,77609922,866457165,38095038,40,2639,17,2206560,16,36328828,10092,591279,TRUE
"674","MON LOVE OHO","MON LOVE OHO","Liamsi",2023-04-07,"QZMEV2363867","666",58.9,24215252,12008,950490,48,12381597,191468,3611019,229593251,3302969819,NA,1,4445,1,839,2,NA,NA,1389350,TRUE
"675","Surround Sound (feat. 21 Savage & Baby Tate)","Surround Sound (feat. 21 Savage & Baby Tate)","JID",2022-01-14,"USUM72123571","667",58.9,548724288,170892,80727459,79,91605414,1539359,28794,90067000,813374956,476994273,53,1046,28,2732487,48,21017930,13817,5341857,TRUE
"676","Feather","emails i cant send fwd","Sabrina Carpenter",2023-03-17,"USUM72301876","673",58.8,488979989,32825,79636817,84,88126911,1378287,170893,35176071,443060258,756672096,60,212739,72,5800066,37,14414933,5802,1261815,TRUE
"677","Super Gremlin","Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies","Kodak Black",2021-10-30,"USAT22107295","672",58.8,416955991,123862,25561593,63,174009595,1640732,255281,140081850,1163709610,32508,65,254615,20,126629,24,149887956,90700,2259867,TRUE
"678","Natural","Natural","Imagine Dragons",2018-07-17,"USUM71806694","674",58.8,1228556153,154255,36941962,75,1220581919,10953316,1207638,29172920,396994100,186180888,72,157544,45,494642,67,269729654,148539,10463981,FALSE
"679","La Triple M","La Triple M","Mawell",2023-06-02,"QM6P42364524","671",58.8,44557662,9405,3224288,59,88674781,431451,2644100,87005227,1729443890,54141730,1,7638,1,210,NA,336332,689,497340,TRUE
"680","OUT WEST (feat. Young Thug)","JACKBOYS","JACKBOYS",2019-12-27,"USSM11914988","675",58.8,709850383,165912,33706762,70,75540671,750424,8269500,222858336,1876371239,8841698,69,29239,24,103760,13,36432352,55187,3068690,TRUE
"681","Fear Song (From ""Devara Part 1"") [Tamil]","Fear Song (From ""Devara Part 1"") [Tamil]","Anirudh Ravichander",2024-05-19,"INS182401563","677",58.7,945093,63,944526,NA,39278201,656672,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,6139,FALSE
"682","High Hopes","High Hopes On Saturday Night","Panic! At The Disco",2018-05-23,"USAT21801174","678",58.7,1602076880,207598,99517459,75,284427491,2509207,1056148,78133371,790904602,92998956,20,671056,98,987939,120,324085596,488258,NA,FALSE
"683","Papa","Papa","Lori",2022-11-24,"CH6542286446","676",58.7,NA,NA,NA,NA,829051158,2899554,NA,NA,NA,2908705,NA,2,NA,NA,NA,NA,NA,NA,FALSE
"684","Memory Reboot","Memory Reboot","V",2023-01-13,"QM4TW2307105","679",58.6,168087455,33442,16618553,71,139656144,2054412,2629100,156998611,1559678788,45767047,NA,6,7,278942,NA,NA,NA,1425007,FALSE
"685","Side To Side","Dangerous Woman","Ariana Grande",2016-04-01,"USUM71602107","680",58.6,1427792654,120921,38322144,70,2458018861,14668122,1697927,69105932,413361240,1906554470,128,81758,180,930854,26,338758974,217054,7455134,TRUE
"686","Last Night","3 Songs At A Time Sampler","Morgan Wallen",2023-01-31,"USUG12300831","681",58.6,922010059,5520,576014,50,NA,NA,NA,NA,NA,NA,49,546787,NA,NA,4,NA,NA,NA,FALSE
"687","Build a Bitch","Build a Bitch","Bella Poarch",2021-05-14,"USWB12101016","682",58.5,452542081,81642,21651326,63,575228171,13396525,3130325,1030644218,10270227664,673325888,77,45289,25,64858,23,33608983,29714,2055722,TRUE
"688","Natanael Cano: Bzrp Music Sessions, Vol. 59","Natanael Cano: Bzrp Music Sessions, Vol. 59","Bizarrap",2024-04-02,"UYB282401007","683",58.4,126619484,6242,27462520,79,55418429,1848749,NA,54400,556900,9306598,10,568,11,2351766,34,434955,158,NA,TRUE
"689","400 Degreez","400 Degreez (Deluxe Edition)","JUVENILE",2024-03-29,"USCM52400062","687",58.3,11610247,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34195379,82220,NA,TRUE
